id,user_id,source_latitude,source_longitude,source_address,destination_latitude,destination_longitude,destination_address,earliest_departure_time,latest_arrival_time,max_walking_duration_minutes,number_of_riders,same_gender,user_gender,dataset_id
dsalex_5k_osrm-req-000011,dsalex_5k_osrm-user-4047,31.2291018,29.9510336,,31.2943294,30.0588402,,2025-09-15T16:35:56+00:00,2025-09-15T17:21:17+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000012,dsalex_5k_osrm-user-3621,31.310019747555412,30.065297450309295,,31.202875,29.9386955,,2025-09-15T16:45:47+00:00,2025-09-15T17:45:05.100000+00:00,10,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000013,dsalex_5k_osrm-user-4844,31.2337129,29.9520648,,31.2591891,29.9960005,,2025-09-15T16:53:52+00:00,2025-09-15T17:21:00.100000+00:00,15,1,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000014,dsalex_5k_osrm-user-6059,31.2234574,29.9481023,,31.2576495,29.9874124,,2025-09-15T16:58:54+00:00,2025-09-15T17:17:28.800000+00:00,5,3,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000015,dsalex_5k_osrm-user-7330,31.313446566003243,30.06723933541476,,31.2060215,29.879653,,2025-09-15T16:51:26+00:00,2025-09-15T17:38:39+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000016,dsalex_5k_osrm-user-6221,31.1982801,29.9075258,,31.2273798,29.9950919,,2025-09-15T16:49:59+00:00,2025-09-15T17:26:31.200000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000017,dsalex_5k_osrm-user-6199,31.2187083,29.9406306,,31.2294828,29.9821267,,2025-09-15T16:40:43+00:00,2025-09-15T17:19:01+00:00,10,1,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000018,dsalex_5k_osrm-user-3493,31.1964551,29.9022358,,31.2755788,30.0059849,,2025-09-15T16:51:30+00:00,2025-09-15T17:20:56.600000+00:00,5,2,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000019,dsalex_5k_osrm-user-6053,31.2377873,29.9620771,,31.1969597,29.9327625,,2025-09-15T16:46:27+00:00,2025-09-15T17:14:30.500000+00:00,5,1,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000020,dsalex_5k_osrm-user-5968,31.2591603,29.9821453,,31.2646805,30.0124638,,2025-09-15T16:48:54+00:00,2025-09-15T17:13:12.700000+00:00,10,2,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000021,dsalex_5k_osrm-user-6854,31.27023772334882,30.025631982748127,,31.2074005,29.9274917,,2025-09-15T16:49:23+00:00,2025-09-15T17:30:42.600000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000022,dsalex_5k_osrm-user-7574,31.223002216642772,29.93996633634981,,31.2526379,29.9931961,,2025-09-15T16:49:30+00:00,2025-09-15T17:19:49.800000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000023,dsalex_5k_osrm-user-7111,31.2105215,29.9138381,,31.2397264,29.9620154,,2025-09-15T16:51:18+00:00,2025-09-15T17:09:33.700000+00:00,5,1,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000024,dsalex_5k_osrm-user-4502,31.223628673648378,29.93988352065657,,31.267811,30.0015314,,2025-09-15T16:48:36+00:00,2025-09-15T17:17:57.900000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000025,dsalex_5k_osrm-user-1974,31.2462134,29.975667,,31.1998845,29.9321516,,2025-09-15T16:58:33+00:00,2025-09-15T17:21:30.600000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000026,dsalex_5k_osrm-user-7913,31.18970094472381,29.908003401077572,,31.2377637,29.9813148,,2025-09-15T16:41:38+00:00,2025-09-15T17:31:15.900000+00:00,10,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000027,dsalex_5k_osrm-user-9971,31.211978,29.9391881,,31.2034317,29.8797636,,2025-09-15T16:51:59+00:00,2025-09-15T17:15:09.800000+00:00,5,2,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000028,dsalex_5k_osrm-user-7268,31.1996144,29.8959445,,31.2514269,29.9891408,,2025-09-15T16:57:32+00:00,2025-09-15T17:25:24.600000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000029,dsalex_5k_osrm-user-7366,31.2133741,29.943616,,31.2431422,30.0011628,,2025-09-15T16:53:12+00:00,2025-09-15T17:23:33.800000+00:00,15,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000030,dsalex_5k_osrm-user-1019,31.2340634,29.9626802,,31.2590087,30.0014754,,2025-09-15T16:57:58+00:00,2025-09-15T17:20:34.400000+00:00,5,2,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000031,dsalex_5k_osrm-user-8515,31.1978485,29.8949781,,31.2518155,30.0012467,,2025-09-15T16:46:51+00:00,2025-09-15T17:23:33.900000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000032,dsalex_5k_osrm-user-8282,31.203717,29.9079332,,31.2155292,29.9684193,,2025-09-15T16:58:19+00:00,2025-09-15T17:25:09.500000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000033,dsalex_5k_osrm-user-6046,31.27650249511168,30.01863922130246,,31.2521369,29.9844602,,2025-09-15T16:41:09+00:00,2025-09-15T17:18:15.500000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000034,dsalex_5k_osrm-user-4592,31.3026351,30.0599655,,31.2469292,29.9786311,,2025-09-15T16:59:56+00:00,2025-09-15T17:29:47.300000+00:00,5,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000035,dsalex_5k_osrm-user-4684,31.2291131,29.9537096,,31.2360147,29.9949219,,2025-09-15T16:46:13+00:00,2025-09-15T17:10:50.700000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000036,dsalex_5k_osrm-user-8570,31.2308163,29.9492136,,31.271751,30.0113811,,2025-09-15T16:59:13+00:00,2025-09-15T17:25:23.400000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000037,dsalex_5k_osrm-user-5656,31.2205607,29.9356486,,31.2293211,29.9755291,,2025-09-15T16:54:08+00:00,2025-09-15T17:23:47.100000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000038,dsalex_5k_osrm-user-1891,31.2453332,29.989315,,31.2189767,29.935832,,2025-09-15T17:03:10+00:00,2025-09-15T17:19:39.500000+00:00,5,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000039,dsalex_5k_osrm-user-9379,31.2636249,29.9917679,,31.1943402,29.8904836,,2025-09-15T16:40:07+00:00,2025-09-15T17:19:22+00:00,10,2,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000040,dsalex_5k_osrm-user-2329,31.1968263,29.903653,,31.233665,29.9674027,,2025-09-15T16:48:21+00:00,2025-09-15T17:25:41.100000+00:00,5,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000041,dsalex_5k_osrm-user-4935,31.2296564,29.9502264,,31.2971802,30.0543572,,2025-09-15T17:04:25+00:00,2025-09-15T17:21:52.900000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000042,dsalex_5k_osrm-user-3612,31.2620088,29.9923347,,31.2325687,29.9625854,,2025-09-15T16:45:04+00:00,2025-09-15T17:19:15+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000043,dsalex_5k_osrm-user-8058,31.27650249511168,30.01863922130246,,31.2298106,29.9681913,,2025-09-15T16:54:38+00:00,2025-09-15T17:26:33.600000+00:00,0,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000044,dsalex_5k_osrm-user-8792,31.2676522,30.0050783,,31.2148018,29.9408595,,2025-09-15T16:51:10+00:00,2025-09-15T17:18:12.500000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000045,dsalex_5k_osrm-user-1274,31.2003808,29.9004728,,31.267770946597064,30.018025379269336,,2025-09-15T16:55:25+00:00,2025-09-15T17:33:10.100000+00:00,5,2,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000046,dsalex_5k_osrm-user-6795,31.2463037,29.9669399,,31.268160732814977,30.017188463855074,,2025-09-15T16:49:47+00:00,2025-09-15T17:18:12.400000+00:00,10,1,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000047,dsalex_5k_osrm-user-3981,31.197648564721753,29.916151235044037,,31.2337487,29.9698659,,2025-09-15T16:54:57+00:00,2025-09-15T17:20:42.200000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000048,dsalex_5k_osrm-user-2648,31.2308163,29.9492136,,31.185823,29.8993378,,2025-09-15T16:59:40+00:00,2025-09-15T17:25:59.400000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000049,dsalex_5k_osrm-user-9845,31.2231284,29.9485429,,31.3129827,30.0611123,,2025-09-15T16:52:27+00:00,2025-09-15T17:25:52.200000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000050,dsalex_5k_osrm-user-3270,31.2078949,29.9356366,,31.2443553,30.0170866,,2025-09-15T16:50:10+00:00,2025-09-15T17:28:58.800000+00:00,10,2,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000051,dsalex_5k_osrm-user-9429,31.198363,29.9076949,,31.2999854,30.0546093,,2025-09-15T17:00:28+00:00,2025-09-15T17:36:01.300000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000052,dsalex_5k_osrm-user-6385,31.271546534052938,30.024652174910873,,31.2289879,29.973468,,2025-09-15T16:45:29+00:00,2025-09-15T17:21:26+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000053,dsalex_5k_osrm-user-1654,31.1916461,29.8950166,,31.2583902,30.0023968,,2025-09-15T16:57:27+00:00,2025-09-15T17:33:22.900000+00:00,10,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000054,dsalex_5k_osrm-user-9164,31.2123904,29.9406952,,31.235846,29.980524,,2025-09-15T16:50:08+00:00,2025-09-15T17:19:01.300000+00:00,5,2,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000055,dsalex_5k_osrm-user-3926,31.2076441,29.9337424,,31.1978306,29.8842426,,2025-09-15T17:04:22+00:00,2025-09-15T17:16:17.600000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000056,dsalex_5k_osrm-user-4155,31.1996144,29.8959445,,31.27925975,30.022724600000004,,2025-09-15T16:50:46+00:00,2025-09-15T17:26:02.700000+00:00,15,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000057,dsalex_5k_osrm-user-4771,31.2571133,29.9790886,,31.1993029,29.9293555,,2025-09-15T16:46:22+00:00,2025-09-15T17:24:49.600000+00:00,10,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000058,dsalex_5k_osrm-user-7046,31.2291018,29.9510336,,31.2698808,30.0117731,,2025-09-15T16:50:19+00:00,2025-09-15T17:22:25.900000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000059,dsalex_5k_osrm-user-5452,31.2251423,29.9525925,,31.2575717,30.0223068,,2025-09-15T17:00:33+00:00,2025-09-15T17:28:34.600000+00:00,5,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000060,dsalex_5k_osrm-user-3567,31.246424507373767,29.98004746601771,,31.2015617,29.9404115,,2025-09-15T16:59:31+00:00,2025-09-15T17:32:02.600000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000061,dsalex_5k_osrm-user-9914,31.2725169,30.0040111,,31.20678951884432,29.9390416262288,,2025-09-15T17:00:48+00:00,2025-09-15T17:29:14.800000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000062,dsalex_5k_osrm-user-6643,31.223296,29.9418078,,31.2462844,30.0053697,,2025-09-15T17:00:17+00:00,2025-09-15T17:25:18.700000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000063,dsalex_5k_osrm-user-3978,31.2364549,29.9510377,,31.268395,30.0147295,,2025-09-15T16:49:57+00:00,2025-09-15T17:19:06.300000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000064,dsalex_5k_osrm-user-4194,31.2046955,29.9080946,,31.2207244,29.9877244,,2025-09-15T16:51:32+00:00,2025-09-15T17:23:31+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000065,dsalex_5k_osrm-user-9781,31.2700703,30.0020833,,31.212428531699715,29.93456209772837,,2025-09-15T16:38:11+00:00,2025-09-15T17:17:56.100000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000066,dsalex_5k_osrm-user-8209,31.2016421,29.8805613,,31.2088053,29.9307503,,2025-09-15T16:47:36+00:00,2025-09-15T17:14:22.500000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000067,dsalex_5k_osrm-user-9765,31.2733644,30.0009469,,31.2181020413007,29.96920835673189,,2025-09-15T16:54:29+00:00,2025-09-15T17:23:34.900000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000068,dsalex_5k_osrm-user-4946,31.1996144,29.8959445,,31.2649578,30.0050584,,2025-09-15T16:56:40+00:00,2025-09-15T17:23:59.200000+00:00,10,2,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000069,dsalex_5k_osrm-user-1918,31.2733644,30.0009469,,31.2380345,29.9798916,,2025-09-15T16:45:40+00:00,2025-09-15T17:20:37.900000+00:00,10,2,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000070,dsalex_5k_osrm-user-3475,31.198781397852237,29.91233088188476,,31.2401208,29.9840498,,2025-09-15T16:45:27+00:00,2025-09-15T17:24:21.400000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000071,dsalex_5k_osrm-user-5149,31.1911004,29.9029881,,31.2807717,30.0139337,,2025-09-15T16:46:15+00:00,2025-09-15T17:30:20+00:00,10,2,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000072,dsalex_5k_osrm-user-2565,31.1988657,29.8936761,,31.2092194,29.9335143,,2025-09-15T16:48:32+00:00,2025-09-15T17:12:38.900000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000073,dsalex_5k_osrm-user-3303,31.305841757472766,30.063970858745964,,31.2057358,29.9375899,,2025-09-15T16:50:27+00:00,2025-09-15T17:36:54.500000+00:00,5,2,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000074,dsalex_5k_osrm-user-5912,31.2017726,29.9041544,,31.2637671,30.0118712,,2025-09-15T16:48:19+00:00,2025-09-15T17:29:46.600000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000075,dsalex_5k_osrm-user-4952,31.1997261,29.9214767,,31.2295005,29.9810478,,2025-09-15T16:53:57+00:00,2025-09-15T17:22:56.600000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000076,dsalex_5k_osrm-user-5784,31.223296,29.9418078,,31.2790976,30.0209313,,2025-09-15T16:46:25+00:00,2025-09-15T17:23:13.800000+00:00,15,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000077,dsalex_5k_osrm-user-2986,31.2070386,29.9382112,,31.2711921,30.013424,,2025-09-15T16:48:57+00:00,2025-09-15T17:32:53.900000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000078,dsalex_5k_osrm-user-6979,31.1923271,29.9137596,,31.255254,29.9891437,,2025-09-15T16:50:32+00:00,2025-09-15T17:21:12.200000+00:00,5,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000079,dsalex_5k_osrm-user-6021,31.2377873,29.9620771,,31.2651399,30.0047341,,2025-09-15T16:55:00+00:00,2025-09-15T17:19:15.700000+00:00,10,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000080,dsalex_5k_osrm-user-3174,31.1987079,29.9077851,,31.2567973,30.0008377,,2025-09-15T16:51:03+00:00,2025-09-15T17:23:47+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000081,dsalex_5k_osrm-user-9042,31.1982801,29.9075258,,31.219929734616947,29.96950844431345,,2025-09-15T16:49:45+00:00,2025-09-15T17:29:45.100000+00:00,10,2,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000082,dsalex_5k_osrm-user-2293,31.246470093991665,29.975294039759092,,31.2641988,30.0161241,,2025-09-15T16:56:18+00:00,2025-09-15T17:17:27.400000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000083,dsalex_5k_osrm-user-6598,31.204352554433243,29.920372126195996,,31.2728325,30.002855,,2025-09-15T16:38:28+00:00,2025-09-15T17:22:23.800000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000084,dsalex_5k_osrm-user-9714,31.275911857616766,30.025997896762775,,31.1860089,29.9087334,,2025-09-15T16:58:36+00:00,2025-09-15T17:37:27.800000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000085,dsalex_5k_osrm-user-2166,31.1989523,29.8907029,,31.259854,29.9922015,,2025-09-15T16:42:28+00:00,2025-09-15T17:20:23.900000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000086,dsalex_5k_osrm-user-3554,31.205426211723616,29.952792224594013,,31.2639758,30.013257,,2025-09-15T16:59:58+00:00,2025-09-15T17:35:21.600000+00:00,10,3,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000087,dsalex_5k_osrm-user-6843,31.2419168,29.9999766,,31.2015765,29.9240112,,2025-09-15T16:53:41+00:00,2025-09-15T17:33:30.600000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000088,dsalex_5k_osrm-user-8193,31.2263682,29.9504147,,31.193910226127564,29.920243289303766,,2025-09-15T16:52:05+00:00,2025-09-15T17:22:41.700000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000089,dsalex_5k_osrm-user-4186,31.2007051,29.9000882,,31.228096,29.9786089,,2025-09-15T16:51:07+00:00,2025-09-15T17:24:59.100000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000090,dsalex_5k_osrm-user-1291,31.2118911,29.940015,,31.2984785,30.0545396,,2025-09-15T16:57:50+00:00,2025-09-15T17:30:40.100000+00:00,15,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000091,dsalex_5k_osrm-user-8827,31.1982801,29.9075258,,31.2954188,30.0560671,,2025-09-15T16:49:33+00:00,2025-09-15T17:35:03.100000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000092,dsalex_5k_osrm-user-4734,31.18970094472381,29.908003401077572,,31.227778091032032,29.972124236942783,,2025-09-15T16:58:45+00:00,2025-09-15T17:32:44.700000+00:00,10,2,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000093,dsalex_5k_osrm-user-2169,31.27092670760347,30.010461570488214,,31.2115581,29.9300998,,2025-09-15T17:06:57+00:00,2025-09-15T17:28:43.200000+00:00,10,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000094,dsalex_5k_osrm-user-4836,31.2007854,29.9087097,,31.2645219,30.0144315,,2025-09-15T17:00:47+00:00,2025-09-15T17:31:54.100000+00:00,5,2,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000095,dsalex_5k_osrm-user-6465,31.240947469237433,29.961656930523397,,31.185427925160965,29.902963952878306,,2025-09-15T16:48:55+00:00,2025-09-15T17:21:56.300000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000096,dsalex_5k_osrm-user-2014,31.2620088,29.9923347,,31.1915491,29.8924879,,2025-09-15T16:56:55+00:00,2025-09-15T17:27:00.700000+00:00,5,2,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000097,dsalex_5k_osrm-user-7504,31.2038459,29.9077741,,31.2214594,29.976291,,2025-09-15T16:46:26+00:00,2025-09-15T17:21:32+00:00,10,2,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000098,dsalex_5k_osrm-user-7215,31.2231284,29.9485429,,31.2413144,30.0023223,,2025-09-15T16:59:13+00:00,2025-09-15T17:22:50.700000+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000099,dsalex_5k_osrm-user-2676,31.1910018,29.9108711,,31.24914,30.0025666,,2025-09-15T16:45:10+00:00,2025-09-15T17:30:35.800000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000100,dsalex_5k_osrm-user-9763,31.21615505,29.94637355,,31.1896193,29.9091813,,2025-09-15T16:54:02+00:00,2025-09-15T17:17:23.500000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000101,dsalex_5k_osrm-user-6814,31.197648564721753,29.916151235044037,,31.2324231,29.9808042,,2025-09-15T16:55:38+00:00,2025-09-15T17:31:35.800000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000102,dsalex_5k_osrm-user-4020,31.2086119,29.8822714,,31.19734,29.9327953,,2025-09-15T16:56:15+00:00,2025-09-15T17:18:49.500000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000103,dsalex_5k_osrm-user-4579,31.1952169,29.9125867,,31.2599974,29.9999973,,2025-09-15T16:50:37+00:00,2025-09-15T17:23:46.600000+00:00,10,2,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000104,dsalex_5k_osrm-user-4528,31.2211084,29.9321321,,31.2263166,29.9754052,,2025-09-15T16:44:42+00:00,2025-09-15T17:23:40.200000+00:00,15,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000105,dsalex_5k_osrm-user-4994,31.1968263,29.903653,,31.2264151,29.96061,,2025-09-15T16:52:30+00:00,2025-09-15T17:18:56.100000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000106,dsalex_5k_osrm-user-8514,31.1988657,29.8936761,,31.2443415,29.9796662,,2025-09-15T16:48:11+00:00,2025-09-15T17:18:21.400000+00:00,5,2,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000107,dsalex_5k_osrm-user-9296,31.2328703,29.9466042,,31.2590204,29.9846483,,2025-09-15T16:55:51+00:00,2025-09-15T17:13:12.400000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000108,dsalex_5k_osrm-user-6518,31.2291131,29.9537096,,31.2696171,30.0138857,,2025-09-15T16:53:09+00:00,2025-09-15T17:19:38.900000+00:00,10,2,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000109,dsalex_5k_osrm-user-9683,31.21015456681094,29.921053008151464,,31.2244586,29.9658208,,2025-09-15T16:56:18+00:00,2025-09-15T17:19:55.200000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000110,dsalex_5k_osrm-user-9317,31.1968263,29.903653,,31.2402436,29.9850595,,2025-09-15T17:00:07+00:00,2025-09-15T17:28:59.500000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000111,dsalex_5k_osrm-user-7739,31.2028128,29.9199829,,31.2357043,29.980673,,2025-09-15T16:58:07+00:00,2025-09-15T17:25:29.300000+00:00,5,2,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000112,dsalex_5k_osrm-user-4924,31.3096754,30.0620238,,31.2342165,29.9795725,,2025-09-15T16:44:15+00:00,2025-09-15T17:27:09+00:00,10,3,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000113,dsalex_5k_osrm-user-7866,31.2078949,29.9356366,,31.2015593,29.8880884,,2025-09-15T16:48:57+00:00,2025-09-15T17:14:00.500000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000114,dsalex_5k_osrm-user-9818,31.2103982,29.8818928,,31.3013101,30.0554354,,2025-09-15T17:01:15+00:00,2025-09-15T17:27:46.200000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000115,dsalex_5k_osrm-user-8363,31.207178324977995,29.91201846647918,,31.2295378,29.9580344,,2025-09-15T16:48:01+00:00,2025-09-15T17:20:00+00:00,10,1,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000116,dsalex_5k_osrm-user-1392,31.1991069,29.9100917,,31.2351901,29.9779733,,2025-09-15T16:50:27+00:00,2025-09-15T17:20:12.300000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000117,dsalex_5k_osrm-user-6356,31.2033913,29.9097886,,31.2675146,30.0114622,,2025-09-15T16:54:35+00:00,2025-09-15T17:31:06.200000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000118,dsalex_5k_osrm-user-8650,31.2231284,29.9485429,,31.2337435,29.9892359,,2025-09-15T16:51:32+00:00,2025-09-15T17:13:40.800000+00:00,10,1,True,female,alex_5k_osrm
